frame,decision,object,distance,reason,track_id
21,STEER LEFT,car,5.61797721247319,Object in center path,22
21,STEER LEFT,car,6.535947285232203,Object in center path,30
21,STEER LEFT,car,5.952380598072583,Object in center path,31
21,STEER LEFT,car,7.042253025193449,Object in center path,32
21,STEER LEFT,car,7.194244086745029,Object in center path,34
21,BRAKE,car,6.024096022644818,Object close,36
22,STEER LEFT,car,6.09756060380728,Object in center path,1
22,BRAKE,car,6.849314599362014,Object close,2
22,BRAKE,car,5.524861573212068,Object close,3
22,BRAKE,car,5.347593296920144,Object close,4
22,BRAKE,car,5.917159413185834,Object close,5
22,STEER LEFT,car,6.060605693296624,Object in center path,6
22,STEER LEFT,car,6.6666662222222515,Object in center path,7
22,BRAKE,car,6.535947285232203,Object close,9
22,STEER LEFT,car,6.249999609375024,Object in center path,10
22,BRAKE,car,5.917159413185834,Object close,11
22,BRAKE,car,4.149377421187658,Object close,13
22,BRAKE,car,5.847952874388721,Object close,14
22,BRAKE,car,5.714285387755121,Object close,15
22,BRAKE,car,6.211179738436041,Object close,16
22,BRAKE,car,5.882352595155729,Object close,19
22,BRAKE,car,5.714285387755121,Object close,20
22,STEER LEFT,car,4.95049480443095,Object in center path,21
22,STEER LEFT,car,5.747126106487006,Object in center path,22
22,STEER LEFT,car,6.493506071850255,Object in center path,30
22,STEER LEFT,car,5.952380598072583,Object in center path,31
22,STEER LEFT,car,6.896551248513707,Object in center path,32
22,STEER LEFT,car,7.246376286494471,Object in center path,34
22,BRAKE,car,5.988023593531521,Object close,36
23,STEER LEFT,car,5.988023593531521,Object in center path,1
23,BRAKE,car,6.8027206256652635,Object close,2
23,BRAKE,car,5.524861573212068,Object close,3
23,BRAKE,car,5.319148653236773,Object close,4
23,BRAKE,car,5.882352595155729,Object close,5
23,STEER LEFT,car,6.134968948774911,Object in center path,6
23,STEER LEFT,car,6.8027206256652635,Object in center path,7
23,BRAKE,car,6.535947285232203,Object close,9
23,STEER LEFT,car,6.289307780546681,Object in center path,10
23,BRAKE,car,5.882352595155729,Object close,11
23,BRAKE,car,4.166666493055563,Object close,13
23,BRAKE,car,5.747126106487006,Object close,14
23,BRAKE,car,5.714285387755121,Object close,15
23,BRAKE,car,6.211179738436041,Object close,16
23,BRAKE,car,6.09756060380728,Object close,19
23,BRAKE,car,5.714285387755121,Object close,20
23,STEER LEFT,car,5.714285387755121,Object in center path,21
23,STEER LEFT,car,5.882352595155729,Object in center path,22
23,STEER LEFT,car,6.451612486992743,Object in center path,30
23,STEER LEFT,car,6.060605693296624,Object in center path,31
23,STEER LEFT,car,6.896551248513707,Object in center path,32
23,STEER LEFT,car,7.299269540199304,Object in center path,34
23,BRAKE,car,5.988023593531521,Object close,36
24,STEER LEFT,car,6.060605693296624,Object in center path,1
24,BRAKE,car,6.756756300219169,Object close,2
24,BRAKE,car,5.524861573212068,Object close,3
24,BRAKE,car,5.291005011057936,Object close,4
24,BRAKE,car,5.917159413185834,Object close,5
24,STEER LEFT,car,6.134968948774911,Object in center path,6
24,STEER LEFT,car,6.849314599362014,Object in center path,7
24,BRAKE,car,6.410255999342564,Object close,9
24,STEER LEFT,car,6.211179738436041,Object in center path,10
24,BRAKE,car,5.586591866670846,Object close,11
24,BRAKE,car,4.184100243343086,Object close,13
24,BRAKE,car,5.747126106487006,Object close,14
24,BRAKE,car,5.714285387755121,Object close,15
24,BRAKE,car,6.211179738436041,Object close,16
24,BRAKE,car,5.988023593531521,Object close,19
24,BRAKE,car,5.952380598072583,Object close,20
24,STEER LEFT,car,5.952380598072583,Object in center path,21
24,STEER LEFT,car,5.988023593531521,Object in center path,22
24,STEER LEFT,car,6.410255999342564,Object in center path,30
24,STEER LEFT,car,6.134968948774911,Object in center path,31
24,STEER LEFT,car,6.8027206256652635,Object in center path,32
24,STEER LEFT,car,7.246376286494471,Object in center path,34
24,BRAKE,car,6.060605693296624,Object close,36
25,STEER LEFT,car,6.060605693296624,Object in center path,1
25,BRAKE,car,6.711408945543024,Object close,2
25,BRAKE,car,5.555555246913597,Object close,3
25,BRAKE,car,5.319148653236773,Object close,4
25,BRAKE,car,5.917159413185834,Object close,5
25,STEER LEFT,car,5.882352595155729,Object in center path,6
25,STEER LEFT,car,6.896551248513707,Object in center path,7
25,BRAKE,car,6.410255999342564,Object close,9
25,STEER LEFT,car,6.211179738436041,Object in center path,10
25,BRAKE,car,5.714285387755121,Object close,11
25,BRAKE,car,4.184100243343086,Object close,13
25,BRAKE,car,5.813953150351561,Object close,14
25,BRAKE,car,5.714285387755121,Object close,15
25,BRAKE,car,6.211179738436041,Object close,16
25,BRAKE,car,5.847952874388721,Object close,19
25,BRAKE,car,6.024096022644818,Object close,20
25,STEER LEFT,car,5.263157617728546,Object in center path,21
25,STEER LEFT,car,6.134968948774911,Object in center path,22
25,STEER LEFT,car,6.410255999342564,Object in center path,30
25,STEER LEFT,car,6.211179738436041,Object in center path,31
25,STEER LEFT,car,6.8027206256652635,Object in center path,32
25,STEER LEFT,car,6.993006503985559,Object in center path,34
25,BRAKE,car,6.024096022644818,Object close,36
25,BRAKE,car,6.329113523473827,Object close,39
26,STEER LEFT,car,6.09756060380728,Object in center path,1
26,BRAKE,car,6.711408945543024,Object close,2
26,BRAKE,car,5.524861573212068,Object close,3
26,BRAKE,car,5.347593296920144,Object close,4
26,BRAKE,car,5.917159413185834,Object close,5
26,BRAKE,car,5.882352595155729,Object close,6
26,STEER LEFT,car,6.6666662222222515,Object in center path,7
26,BRAKE,car,6.578946935595596,Object close,9
26,STEER LEFT,car,6.172839125133387,Object in center path,10
26,BRAKE,car,5.681817858987621,Object close,11
26,BRAKE,car,4.166666493055563,Object close,13
26,BRAKE,car,5.780346486685174,Object close,14
26,BRAKE,car,5.681817858987621,Object close,15
26,BRAKE,car,6.211179738436041,Object close,16
26,BRAKE,car,5.681817858987621,Object close,19
26,BRAKE,car,6.09756060380728,Object close,20
26,STEER LEFT,car,5.61797721247319,Object in center path,21
26,STEER LEFT,car,6.289307780546681,Object in center path,22
26,STEER LEFT,car,6.369426345896411,Object in center path,30
26,STEER LEFT,car,6.211179738436041,Object in center path,31
26,STEER LEFT,car,6.756756300219169,Object in center path,32
26,STEER LEFT,car,7.299269540199304,Object in center path,34
26,BRAKE,car,5.847952874388721,Object close,36
26,BRAKE,car,6.535947285232203,Object close,39
26,STEER LEFT,car,5.813953150351561,Object in center path,40
27,STEER LEFT,car,6.134968948774911,Object in center path,1
27,BRAKE,car,6.8027206256652635,Object close,2
27,BRAKE,car,5.524861573212068,Object close,3
27,BRAKE,car,5.319148653236773,Object close,4
27,BRAKE,car,5.917159413185834,Object close,5
27,BRAKE,car,5.917159413185834,Object close,6
27,STEER LEFT,car,6.535947285232203,Object in center path,7
27,BRAKE,car,6.451612486992743,Object close,9
27,STEER LEFT,car,6.249999609375024,Object in center path,10
27,BRAKE,car,5.61797721247319,Object close,11
27,BRAKE,car,4.166666493055563,Object close,13
27,BRAKE,car,5.847952874388721,Object close,14
27,BRAKE,car,5.649717194931232,Object close,15
27,BRAKE,car,6.211179738436041,Object close,16
27,BRAKE,car,5.952380598072583,Object close,19
27,BRAKE,car,6.249999609375024,Object close,20
27,STEER LEFT,car,6.024096022644818,Object in center path,21
27,STEER LEFT,car,6.410255999342564,Object in center path,22
